	H1C	H2C	H3C	C1C	C2C	C3C	gor1C	Pon1C	SiaC1	SiaC2	rhesus1C	rhesus2C	rhesus3C	Bab1C	Bab2C	Bab3C	Mar1C	Mar2C	Mar3C	sqmnky1C	saki1C	ateles1C	ateles2C	Nem1C	patas1C	patas2C	patas3C	lemur1C	lemur2C	eulemur1C	sleloris1C	slowloris1C	slowloris2C	pygslowloris1C 
NG_029504.1	1223	726	651	1936.1	648.23	539.9	1767	4	23.26	49	3587	3947	2001	1684	1792	715	2597.85	3065.61	2686.71	2938	20	1434	335	950	0	38.93	77.57	15	2	1774.7	104	3038.44	1892	646.73
NG_029510.1	8999.12	1407.16	3567.52	6005.13	4471.28	3915.84	145	3466.01	2884	4168	15312.53	14281.77	7343.67	344	132	104	226.47	228.34	348.27	1572	37	4393	4550	82.89	5454.8	4606.77	5637.4	10	16	4	83	11.18	27.96	7
NG_029516.1	509	614	372	979.31	237.01	420.26	94	520.99	1163.89	1803.39	914	724	548	1041.28	295.68	135	2614.56	1881.74	1808.57	15	1275	602.61	1244.22	663	1072	865	769	81	53.19	320	23	361	177	4
NG_029518.1	2670	747	1450	2919	1598	417	2253	30	518.3	2158.04	3198.01	2741	1921	3000	1139	765	4361.07	3598.27	3152.92	134	1090.93	1339.65	296.09	1746	2082	2562	2658	205	195	48.52	684	841.59	225.56	1323
NG_029520.1	1560	447	1133	602	311	352	996	830.76	1111	1774	1404	1553	734	1180	412	137	1765.91	1901.85	2018	1115.45	1222	983.53	1029.61	1218.51	71.6	87.98	223.33	2105	1043	22	889.89	1874.16	604.2	928
NG_029523.1	61	70	44	5728.72	3087.97	3210	78	16	26	46	4180.39	4348.05	2565.94	21	8	1	4059	4188	4574	60	19	1775	1266	2156	17	10	11	8	2	12	4734	24.44	15.85	11.34
NG_029532.1	9	6	8	4	0.16	45	13	0	15	0	2	4	8	88	141	215	271.17	202.7	249.92	18	4	39.44	47	10	6	3	1	7	1	10	185	60	88	4
NG_029536.1	3889.25	1123	2246.94	4851	992	578	3269	2521	2567.45	5329.18	5684	5092	3650	5729.99	780.94	294	6571.69	4494.4	4372.81	177	56	2960.39	956	6281.35	3190.33	4275.2	6463.91	58	23	2760	8	1241	441	54.98
NG_029537.1	65	283	37	11	37	91	66.28	12	449.37	645.13	2738	3003	1710	53	123	42	24	33.91	19.75	71	18	5153	1139	32	54	97	173	32	4	9	1117	284	342	34
NG_029542.1	29	14	11	155	108	122	5	42	189	866	73	48	49	4197	2181	1284	3	1	3	8	7	3	0	11	24	32	86	5	0	3	17	10	11	4
NG_029545.1	95	67	93	157	6	6	10	4	287	679	656	639	394	39	7	1	22	20	9.04	878	137.91	1323	96	241	331	810	1140	32	26	15	272	2	14	2
NG_029550.1	31	18	11	20	19	45	25	149	10	10	27	17	10	30	11	22	40	79	49	25	14	10	45	20	22	13	15	43	2	100	62	5	3	2
NG_029553.1	11	0	6	2253	3563	3497	2907	18	1902	1777	6968	5340	2815	6985	13982	19981	41	50	49	4439.75	147	4613	6228	4359.27	202.88	137.45	256.93	6	5	11	9	161.5	111.57	4
NG_029558.1	230	239	78	327	31	7	10802	266	274	386	19338	15141	8979	18261	19017	21887	4403	3641	2695	260	5884	26	317	378	14664.25	14458.44	12401.11	612	78	294	3321	61	145	248
NG_029559.1	105	23	36	64	39	3	47.66	14	20	11	396	309	187	5220	5078	6780	21	87	59	2	9	1537	811	28.08	2881	2089	2286	1	5	2	12	353	97	56
NG_029560.1	4330	982	2512	4306	1665.94	5167.86	8224	4689	6434	3357	7456	8649	5192	7656.01	3166.12	1493.1	5777.92	4436.51	3739.86	4440	3	11	182	3223.95	6553	12793	9817.93	30	2	2896	6498	5	0	14272
NG_029568.1	1949	380	848	2483	665	327.5	1582	13	1208	1899	980	1030	499	33.04	17	12.99	970.73	1290.38	920.65	15	36	9	0	607	852	1028	1286	6	7	14	33	105.86	53.56	4
NG_029569.2	2807.35	786.5	1796.69	2539	1380	904	1971.56	1679	945	760	1753.31	1997.42	1151.56	368	75	27	4915	4421	4082	43	5114	3044	1197	644	2438	2675	3190	135.87	70.37	121.44	11	48	25	121
NG_029576.1	2	0	3	6	1	22	8	2	3	3	2	1	2	3	14	11	21	21	6	0	12	21	0	2	6	18	8	2	2	1	5	1	2	9
NG_029577.1	75	35	39	7565	5480	4295	8769.87	23	6840.51	12206.72	10637.43	8557.19	5014.77	9041.47	5012.72	3748.69	11677.17	12199.42	10344.01	3702	160.07	5480.18	4462	8699.74	7104.21	9024.83	8557.51	12512	8222	7743	2895	5007	1645	8895
NG_029578.1	1547	426	850	1791.98	266	114.55	2444.3	125.1	690	1644	111	82	86	110	57	22	2464	2212	1731	116	1854.16	2305.44	289.82	1668	1660	1781	2359	14	3	38	750	10	2	2337
NG_029581.1	482.65	90.1	218.32	1351	106	11	1237.67	255	280	618	964	1042	814	971.67	67	29	488	432	293	379	629.28	676	255	758	292	598	882	322.61	363	393	224	119	179	937
NG_029583.1	2489.54	608.15	1185.1	1078	1202	618	940	617	495	664	759	456	390	1105	1945	2600	1888	1963	1726	1567	979	2350	733	946	317.27	343.62	455	2155	733	254	944.24	1555	852	2968
NG_029589.1	69	32	20	1427	1390	956	68.62	1294	241	1321	1033	1268	784	1732.78	538.47	614.35	19	19	20	63	5	71.28	14.2	86	21	7	61	8	2	1155.42	61	4524	1019	39
NG_029595.1	785	250	433	1157	485	476	755.04	8	53.68	13.9	912.13	740.37	502.2	867	438	428	560	746.67	624.9	357	397	3	22	666	678.71	655	470	28	26	23	12	66.65	22.4	10
NG_029598.1	5010	1431	2704	2173.66	1293	584.27	48	1613	3379	3202	3520	2892	1908	3559	1292	1260	112	106	103	18	10	720	1011	4036	2892	2657	2853	7	1	8	119	432.95	83	3643
NG_029600.1	113	120	13	198.14	15	7.09	30	896	105	393	1533	1250	1200	323	119	63	1352.41	975.34	992.35	1383	1673.45	323	33	199	1207	1507	1927	77	5	115	666.4	696.61	262.33	217.98
NG_029603.1	191	55	234	2814	2017	5720	1050	5	2387	2076.62	3282	3268	1763	2732	9994	11405	1931.89	2317.7	2134.51	1100	63	40	0	2087.38	484	689	598	5470	5511	7624.71	7	13.18	19.65	6
NG_029604.1	5009	1732.79	4547	436	94	187	1751.18	111	2384	3557	3463	3211	2585	6312.88	3822	2292	4157	2761	3411	4897	221	3203	4297	3624	164	111	145	4623	3041	1233	724	2947.83	1493.18	6
NG_029606.1	56	87	7	4399	1658	2771	35	8	27	49	4787.85	5062.27	3416.62	44	6	3	5682	5121	5552	18	18	1	13	25	2280	3334	3896	10	4	2	368	20	5	22
NG_029607.1	12	38	19	741	501	286	873	399	18.01	94.82	93	103	108	152	15	11	878	599	637	97	166	187	11	819	58.34	76.05	104.7	623	381	584	459	737	299	1320
NG_029612.2	0	78	89	75	20	143	41	37	36	33	24	36	32	43	20	1	43	46	50	28	29	33	92	48	71	81	37	26	37	31	57	53	52	85
NG_029614.1	17	19	6	5	13	45	14	7	55.01	7	5	23	5	26	19	6	48	62	40	10	15	17	0	16	31.46	36.57	28	14	44	13	234	61	16	28
NG_029615.1	14229	3886	7916	13014.92	14191.39	14426.85	11123.15	7420.6	7870.61	11503.85	633	570	393	8718.12	17590.89	28320.55	9388.46	11981	7571	4922.59	4939.84	6833.52	11849	4110.63	8628.27	7978.87	7858.42	123.51	67.07	840.34	341	4029.1	1200.51	46
NG_029619.1	231	282	73	810.22	403.92	517.61	1503	82	2659	2769	154	226	115	828	1265	1673	81.72	86.63	62.48	1049.16	42	1692.97	645.24	184	150	106	235	478	86	2230	860	516	1356	258.75
NG_029621.1	9	3	7	232	241.07	160.82	25	5	8	17	574	769	479	19	14	7	2292	2222	1027	26	22	2059	2039	420	1111	1193	1007	328	461	2098	115	0	11	1651
NG_029626.1	67762.35	7281.83	42529.61	90133.17	44158.72	11201.84	58994	22037	73675.95	99084.95	27388.74	25293.28	16317.28	92079.28	59466.03	65875.59	80981.9	75569.31	61067.12	24456	33617.38	11796	43837.63	69748	93662	102724.73	90837	28563	12393	51421.53	22129	38924	24902	79529
NG_029628.1	15019	3888	12129	1989	636	604	1778.86	579.71	1067.72	2360.15	2884	2675	1713	10762	7336	4642	4719	4144	4197	8231.29	3075.86	276	331	234	1240	2132	2451	96	65	227	1907.34	1909.23	698.6	202
NG_029642.1	10	28	9	14635.09	2247.08	209.23	19493.26	12	10853	14732	20971.77	17593.93	12625.04	16518	7216	2565	38882.55	29195.69	20937.13	3318	12071.43	39811	3417	9629.33	14	29	62	13112.82	13858.18	11441	189	36	2	7405
NG_029648.1	660	254	374	525	391	315	38	949	501	316	234	128	113	181	174	96	1438.22	1619.97	1260.51	1869.34	191	4311	863	507	228	220	176	369.34	122.53	2245	299	67	52	34.49
NG_029659.1	747	281	383	730.84	608	771	45	19	1144	1348	1477	1328	772	1493.98	1750.82	1755.53	834.72	1051.72	693.42	567	50.31	452.5	11.5	1239.03	64	63	109.08	27	12	1183.73	23	9	3	266.94
NG_029663.1	1162	395	691	53	27	15	4805.82	39	44.24	100.75	33	50	26	4669.07	801.63	250.96	8867.45	6588.01	6513.7	83	66.02	50	0	824	1894	4221	5177	3	2	16	619	22	3	25
NG_029667.1	7.12	21.74	0	669.58	1345.68	1534.27	37	1269	1996.88	2359.53	853.78	844.25	435.51	1326.05	2851.86	3883.77	1950	2105.65	1388.42	28	16	2157	2863	1208	2150	1501	1694	9	18	2580.06	318.77	6	10	1936
NG_029677.3	20721	6564	8476.83	15377.12	10754.77	9539.82	2754	9572	13229.39	21083.94	16778.93	19581.47	8006.27	12495.95	17806.03	27336.14	5562	8624.96	5252.31	12380.88	18870.06	50	343	6003	21644.96	18619.57	29550.28	51	54	19454.86	1530.89	718	199	664.28
NG_029678.1	1442	458	785	1478	2901.95	4279	111	782.04	2258.62	3763.89	2033.15	2118.21	1146.92	1497.35	1473.96	1491.37	1144.9	1156.72	676.08	75	379	105	4	1195.69	1401.91	1425.38	1929.14	44	34	2260	26	50	24	34
NG_029680.1	15381	4581	8810	27089	5626	3837	6611	1160	119.61	586	27828.04	22847.72	13639.67	29000.83	10359.84	6711.63	14422.09	18988.3	15437	9805	6821.88	275.97	9.63	21058.34	380	831	1063	164.54	53.74	38	34	21	0	66
NG_029681.1	16434	4104	11107	5839	2263	1202	11394	6105.03	8055.01	12763	9740.73	10078.3	6153.69	5	3	1	11494.19	7890.31	6313.73	985.01	5577.04	8178.46	4072.76	11766.86	10138.95	12654.37	13040.47	14180	4898	10826	8	4457.06	2366.42	13439.98
NG_029689.1	3136	1606	2087	4158	1159	1333	4410	1094.46	552	651	5888.19	5673.29	3201.7	2154.99	1386.66	762.11	5238.74	6039	5258.72	4029.31	4789	8547	3069	1915.46	2859	3962	4194	212	20	121	23	14	1	10
NG_029695.1	7827.81	2483.97	7630.84	1302	2926	4221	2396	875	2741.95	1799.91	55	32	21	2486	1909	3356	5	10	16	49	1309.52	2087	1749	3975.3	20	16	23	13	26	70.18	5	768	717	4
NG_029704.1	239.91	327.77	109.1	43.81	0	29	397	3	157	68	8	1	4	4	2	0	14	7	11	37.04	854.13	6	30	5	2	14	5	565	349	3	648.7	0	5	3
NG_029708.1	32	36	25	28	20	3	35	4	9	52	1636	1568	928	890	459	296	2177.67	2148.32	1992.62	77	659	1830	151	18	19	24	33	92	63	21	717	95	49	32
NG_029709.1	31	64	10	1378.11	830	634	952.09	26	996.67	1528.91	876.21	461.13	493.1	907.59	601.39	314.82	663	456	401	79	40	385.89	125	32	81	160	251	4	4	6	76	538.61	52.39	41.78
NG_029710.1	1904	628	1734	4603	497	343	3924	39	131.57	307.09	5082.69	5946.5	3327.68	2188	586	222	109	78	65	59.27	5349.32	2637	281	1952.17	2460.69	5970.63	4952.04	21	22	2023	19	98	34	6321
NG_029711.1	0	0	4	10	6	12	0	6	8	7	9	5	5	10	9	5	4	5	2	2	4	3	34	9	7	7	2	43	5	20	6	6	16	6
NG_029712.1	682.28	152	266	1626	648	185	504.32	977	4769	10282.89	243	225	126	140	82	41	405.93	286.94	487.52	410.25	65.33	197.79	23	265.22	14	93	17	256.02	202.33	235	1	13	0	497.43
NG_029715.1	21	19.49	8.94	699	790	1306	498	9	326	506	133	130	72	160	254	298	875	717	548	99.47	448	530.9	168	38	149	156	147	207	170	10.37	167.62	156	56	1
NG_029721.1	641	151	448	48	7	3	254.55	82	219	184	942	994	590	963.42	522.9	202	23.49	16	15	22	8	962.42	175.05	680	16	20	17	3	2	42.83	14	118	78	4.36
NG_029724.1	97.46	124.39	34.43	226	3	3	79	1556	73.35	148.49	10521.6	12603	5332.52	171	194	233	15341.5	20939.21	17485.56	120.07	42	7268.87	2349.7	69	14645	16779	11904	37	13	9	53.16	872	69	25
NG_029726.1	14649	4856.64	6251.94	10566.43	7341.78	7498.48	19779.28	4930.5	7595.54	16909.64	8458.98	7137.8	4404	26837.17	43515.5	69371	18757	23503	14797	17400.35	7943.73	15947	2988	9780.57	1052	1120	1026	199.06	232.77	29756	124	10016.35	3547	5217.23
NG_029728.1	497	656	337	220	43	51	2921.87	83	706	181	133	67	65	6455	1873	1538	13641.67	10808.73	12221.11	150	131	47	600	98	1414.76	1544.46	1049	7727	4110	391.44	137	62	74	5
NG_029729.1	60	44	40	0	0	32.63	11	4	27	28	441	396	283	597	221	84	19	30	32	33	33	11	73	7	97	88	26	4	5	13	15	4.12	17	2461
NG_029731.1	948.72	301.9	563.28	823	654	626	312	373	340	1431	49	30	17	748.63	259	120	1342	1225	1187.97	462	381	1032	1495	287	322	437	390	15	5	2634	1323	833.01	393.28	6920.72
NG_029734.1	302	43	344	397	101	32	26	8.54	237.39	233.68	96	122	100	18	17	15	17089	15315	17774	531.65	1392.53	61	106	107	38	38	92	38	7	46	98	2831	228	3793
NG_029742.1	1183.5	287.04	1156.85	70	31	25	37	8	60.85	66.05	2832	2559	1663	396.18	349.58	270.86	73	55	34	845	51	181	140	115	11	22	50	1954	1289	1147	223.64	16	4	41
NG_029751.1	2590	589	1444	2817	1294	1159	2796	967.25	751.97	1617.86	4767.82	4521.68	2925.89	147	76	107	1101	983	934	883	1191	1055	340	2350	982	1252	1396	12	9	22	48	8	0	27
NG_029752.2	43	19	34	149.93	329.99	185.97	25	23	14	24	182	215	80	4	3	1	645.88	636	471.84	21	7	46	0	61	8	5	9	16	7	107	179.57	34	0	5
NG_029754.1	1988	634	1295	1773.73	818.31	569.04	15	99.39	1792	2063	1109.47	1156.85	569	7830	13136	15735	675.37	719.5	422.5	1400	800	1033	2438	887	2743	2409	1462	3832	1734	2385	276	674	251	3596.46
NG_029755.1	326.72	44.05	396.69	509	305	235	9127	916.03	9839.67	11905.63	8806	7821	4718	6633	12702	17798	179	160	100	5994.32	1048	12514.09	3112	5898	9495	9095	9837	82	70	103	451.89	1691	434	12391.26
NG_029759.2	6	0	4	3190	1401	3797	7	2	2620.75	2526.77	2	2	0	6	0	0	105	112	79	39.64	211.55	83	233	9	5	7	0	44	18	28	19	77	15	17
NG_029760.1	110	240	47	161.35	189.55	213.73	36	27	62	49	56	54	50	36	1	7	12.62	26.79	34.46	166.51	55	108	11	42	968.64	984.26	1091.01	13	0	650	13	27	3	6
NG_029763.1	21	71	14	150	122	195	212	121	965	886	1069	1100	717	1273	3134	3025	1559	1609	1341	335.66	424	325	119	255	2397.99	1950.42	2593.23	405	176	428	270	664	352	260
NG_029764.1	4673	1344	3521	3901.95	2173.78	869.52	1030	1405	615.99	919.5	3070	1948	1430	4624.8	1268.13	794.08	9795.61	8714.12	8816.44	2632	4635	5162	2065	5184.07	3311	4616	4925	63	6	141	3917	2430	1391	2867.98
NG_029766.1	1120	277	647	3114.66	871	377	34.6	3	864	1296	1571.25	1456.35	999.52	179.26	18.55	7.7	6070	6046	5034	2997	2178	55	402	15	777	1132.67	1513.92	2	4	3183	202.3	2969.55	793.35	2494.09
NG_029768.1	894	210	598	889	257	283	615	89.08	409	1152	13	5	16	693	1021	800	745.24	791	568.49	76	1316.23	889.24	91.34	33	34	31	17.76	94	21	212	717	372.02	353.02	22
NG_029769.1	37	82	33	114	11	0	2479	1439	63.32	253.1	801	704	588	3830	522	98	1587.24	1123.5	1244.14	946	2399	34	47	66	45	57	109	137.33	156	68	189	66	13	670.97
NG_029770.1	18879	3893	13155	507.8	34.15	32.29	17029	16310.32	11886	23638	21288.93	21497.21	11828.87	41	56	103	18091.01	17678.98	13034.3	11826.85	11233	27460.09	2340	213.12	20647.47	21037.41	20811.68	135.84	142.83	37.73	11	15603.78	5655.6	27
NG_029771.1	2090	661	978	1652.06	1022	1054.48	1898.82	883	1371	2879	180	190	137	2582.87	5340.31	6643.88	1196.69	1661.02	1353.22	1094.45	84	2868.39	1714	576.52	136.24	80.16	195.73	47	38	85	783	164	40	1424.52
NG_029773.1	24	39	10	10	8	14	14	0	30	3	1713	1924	1232	7	4	0	1	5	3	81	17	1035	406	7	2	3	4	349	298	13	12	5	11	6
NG_029776.1	1349	458	679	1132	654	350	476.47	53	151	31	1646	1471	1011	821	309	181	21	26	18	999	574.78	379	112	80	6	28	51	83	44	64	149	6	0	5
NG_029777.1	194	136	84	18	35	68	33	76.61	334.09	201.72	38	18	20	66.56	0	8.86	1333	1336	988	1207	145.41	272	368	435	43	34	77	31	5	57	496	48	80	828
NG_029778.1	1458	540.43	911.01	1881.31	498.64	465	1804	38	595	603	2976.95	3034.18	1765.29	1647	743	527	103	81	100	1578	2120	52	326	833	860	1689	1887	208	114	657	1484	825	120	3587
NG_029780.1	4030	1174	3411	4272.5	3081.79	1673.43	36	5	77	48	31	21	16	42	11	0	6413	6142	6280	79	87	2	144	13	21	191	291	0	0	80	180	158.77	62.85	196.68
NG_029781.1	18	10	4	119	200	138	8	14	97	245.35	208	244	107	322	374	183	85	42	73	131	382	263	187	135.27	154	300	230	4	0	6	1466	228	188	22
NG_029784.1	76	50	43	98	14	69	5	5	157	83	749.14	918	484.15	44	12	2	28	28	52	136	39	20.66	112.06	160	1744.89	3311.74	1917	46	8	83	90	152	81	7
NG_029785.1	744	292	621	765	314	349.45	25	30	2.5	12.7	520	277	337	352	158	101	747	619	709	413	234	324	97	403	547	1057	503	36.34	30.12	322	195.06	11	43	703
NG_029786.1	2365	668	1027	1425	1371	1132	1557	28	245	216	16	6	5	279	476	465	245	255	236	382	120	382	215	243	793	927	1095	2191.19	1666.05	15226	1444	31.21	38.3	986.15
NG_029787.1	250	106	332	15	13	41	7	307	912	1610	701.93	655.77	356.07	729.35	2050.67	2663.28	948.81	1039.22	800.7	26	201.63	10	61	395	2020	1980	1374	2	0	5	205	55	877	62.15
NG_029792.1	1633	324.16	627.62	3496.98	699.44	224	1496.54	401	655	2465	1347	1687	833	2270	2880	1781	843	1157	665	26	3209	1752.91	69.28	760	1037.29	2249.82	2251.67	15	14	17	21	832	347	5462
NG_029795.1	15198.54	3563	10075.29	10757	6400	7024	2664	4826	15542.09	20361.47	13684	10785	6961	5920	1130	989	30361	28394	24909	9393	9987	0	456.22	502.99	12422.4	18151.99	19168.9	4326.69	1649.57	3957.22	2085	10590	1225	216.33
NG_029807.1	108	36	26	3465.39	2081.53	2228.66	47	63.53	5047.24	5214.2	3741.93	3332.59	2002.94	2585.66	5998.78	7600.44	68	66	38	1881.11	3391.63	4363.49	4743.98	4816	2851.51	3044.44	2341.99	20	7	23	1607	1	5	12
NG_029808.1	79	75	15	64	5	15	11	53	4578	8306	5728.84	5718.91	3171.24	126.97	78.01	69.04	263	251	225	5426.62	5150	95	53	2250	4543	5009	6123	3490	2274	2417	216	3784.61	966.44	12
NG_029810.1	141	67	111	38	39	88	67	57	21	97	78	53	77	355	483	419	183	149	93	119	45	9	86	4	289	417	371	6	0	2	28.22	0	31	218
NG_029811.1	5	4	3	36	0	0	322	330	244	240	585	774	236	252	747	894	310	204	216	348	37	45	12	292	611	762	703	1355	669.78	1650	8	206	120	32
NG_029817.1	9896	2440	6882	3106	1138.72	1480.34	16682	4755.66	4042	13616	3032	2908	1709	52	41.55	93.76	931	857	658	26048	442	1229	7178	7023	9739	16127	15727	16705	7201	65	948	1130	649	1511
NG_029821.1	7181	1560	5568	63	20	77.02	54	3	3521	3185	6126	6324	3939	66	24	9	28	26	19	216	410.9	78	252	2583	4481.11	5147	4619	82.45	10.61	3	1805	6023	1740	10
NG_029822.1	20	21	13	96	87	89	93	5	13.95	32.59	47.37	48.27	28.77	74.54	176.6	189.46	888.33	1255.76	691.66	21	37	12	2	31	744	554	561	6	15	3	3	0	2	59
NG_029825.1	6.38	4	2.13	932	396	526	59.04	8	1111	1506	1051.61	795.03	482.84	623	923	1153	1409	1739	1327	1611	1592	2636	972	47.88	934.79	1055.65	1288.73	13	5	25	83	72	131	115
NG_029828.1	1400.22	354	2216.11	6	13	14	9	872	3	12	48	38	32	36	79	84	48	19	35	4	140	10	12	12	2282	3144	1476	169	66	133.19	14	995	217	231
NG_029829.1	2065	624	1226	3188.19	1065	728	5993	1044	2314.83	3208.91	2398.45	2164.09	1553.47	54.07	8	1	91.6	59.85	52	15	74	1540.11	701	26	10	20	27	9	5	25	6.59	6	0	16
NG_029830.1	3432.91	1218.71	2218.3	1202	1291	582	883.27	543	1360.95	2118.94	139.33	96.43	97.51	114	61	17	3643	3778	3172	1001.17	1330.48	2110.47	855.99	722.33	191.11	116.5	270.82	1045	750	1360	571	514.44	444.29	1966
NG_029831.1	13	14	41	3035.59	1808	1177.56	53	10	4505.31	5958.14	2026	1457	940	36	44	41	1532	1889	1524	150	1062	1578.09	2281	30	2131.53	2133.99	2093	42	34	6562.91	0	460.72	75.19	1086
NG_029836.1	1382.26	320.25	795.58	385	363	315	264	284	997	1259	2038.09	1531	928	916	1271	1481	2068	2040	2155	728	360	439	46	245	791	1023	648	179	137	5197.31	4	689	169	338
NG_029838.1	59.62	20.4	32.66	204	36	10	386.37	1397	9.44	23.66	10	2	6	24.99	44.47	38.15	69	64	56	154	43	2041	21384	21	2198	1785	1115	9	26	950	358.88	383.44	286.29	3486.8
NG_029839.1	184	77	102	22	1	14	37	6	23	15	1264.3	1371	653	1080.73	3034.36	3924.25	2069	2735	2158	34	53	2577.91	307	496	27.24	30.26	101	1531	570	15	1757	16	43	6
NG_029844.1	3178	859	1787	3031	1989	705	2986	2005	1216	2481	4368	2786	1706	4501	7078	8340	1190	1600	1220	2911	4389.71	2230.61	182	2702	4924.34	5015.74	5933.76	121	26	2628	2673	1457	500	23
NG_029846.1	277	96.88	175.16	221.26	42.27	40	17	3	21	16	1906.65	2416.04	1064.7	20	24	9	1042	1099	1003	239	13	33	203.11	26	8.55	25	43.85	21	8.88	584	11	280	94	31
NG_029850.1	73	20	13	6824	2711	1553.69	231	31	3757	6131	4411	4024	2477	4706	3447	4089	277.12	215.4	168	4124.15	1397.85	2845	831	3155.29	5467	4912	3955	1639.4	1888.83	59	49	60	13	54
NG_029852.1	6979.81	1735	4941	4697.11	4172	1710.09	4663	3135	5214	7706	7939.1	5931.21	4100	6852.44	10123.11	10345	9282	9985.59	8271	1919.34	4228.22	6671.74	3787	4445	5817	5886	3849	2206.8	1914.38	124	14	3204	988	5574
NG_029859.1	2098.37	230.57	857.34	7501.7	1129.4	293	12837.93	382	84	68	3598.62	4045.58	2641.79	2925.39	582.81	329.97	740	628	458	1710	473	144	118	3029.89	357	524	1194	150	45	687	1284.84	1804.3	445.02	5182
NG_029860.1	1070	1027	683	3410.5	882	930	2391	63	1242.57	2143.54	3057.68	3775.07	2135.27	508	270	133	959.49	746.29	808.97	3107.89	2140.04	2157	855	1792.28	1761.88	3372.31	3611.72	4004	2144.23	364	1988	1527.51	1480.65	116
NG_029861.1	135	115	50	126.41	17.76	11.21	949	2	51	2	1066	1031	622	70.22	5.7	2.55	27	16	3.01	240	8	10.91	15.41	922.46	951.16	1052.42	970.99	12	5	26	37	21.94	5.75	553.98
NG_029862.1	2134	633	1562	1915.16	810.84	943.44	1522.93	174	1230	2077	5001	3438	2435	3063	1682	1699	3252	2958	2961	54	71	1167	930	143	2737	3273	3198	92	56	1096.27	17	1954	1518	3805
NG_029864.1	5753	1936.91	3409.72	248	58	11	311.02	29	2860.6	4666.06	3699	3841	1932	155	126	180	1721.92	2151.42	1817.51	189	317	302	4	18	81	97	120	311	67	459.63	3664	1518	814	4009
NG_029865.2	323.41	243.61	108	1241	300	197	156.96	58.25	1501.88	2250.81	1582.63	1514.64	1326.99	898.62	473.23	326.51	1206.76	899.75	923.3	1502	860.03	2277.59	477.14	464.22	382	278	393	2629	1759	8	419	483.8	80.98	8032
NG_029867.1	2977.9	796	2828.98	139	38	25	42	3652.44	6334	5899	6115	5050	2956	70	104	142	3862	3732	2441	74.59	1854.22	1618.59	4790.5	5036	3665	3861	2409	157	123	12	9	53	40	2182
NG_029869.1	31	74	23	16	4	33	606	15	6	49	1550.57	1788.71	1098.93	1545.39	3610	5000	2545	2739	1609	1672	2627	18.78	49.32	729	1290	1834	2088	38	18	10	10	59	112	28
NG_029872.1	30449	7629	17080	24247	8545	2488	14256	6311	1925	12678	14814.11	13576.77	8723.97	13358.14	7195.74	5565.22	11083	11642	10292	2087	13858	6018.8	590.69	19338	5067.61	10953.08	14949.78	92	107	373	4014.21	3419	609	424
NG_029874.2	3035.84	763	1445	3102	1053	433	2055	104	1474.77	2927.75	1350	1425	855	1436	838.15	556	117	96	79	225	1520.65	1213.46	414	530	768.63	1712.72	1518.47	1799.57	976	2963	1327.13	1086	361	1047
NG_029882.1	1044	655	693	277	169	55	401.91	29	457	975	354	406	195	354.34	1024.72	836.04	315	407.4	384	76	131	1966	333	70	1721	2195	1540	4	4	1	92	70	107	6
NG_029883.1	842	173	589	2	6.17	22.29	45	3	10	0	4.84	9	1	5	5	1	146	154	161	24	13	63	22	9	656.16	1040.23	635.7	7	0	5	8	0	12	0
NG_029885.1	2882	704	1475	1864.04	322.09	62	185	23	2143	3600.08	2861.83	2416.02	1805.44	3123.99	4272.69	4651.88	1644.55	1602.61	1264.89	1609	5820.85	2577	401	1728.03	1238	1506	2707	86	43	2202.76	601	498	200	25
NG_029886.1	43	8	17	940	707	347.74	694	485	51	112	1088.2	1135.84	698	1019	793	669	1115	1112	1072	550.74	40	924	224	1212	71	74	105	1452	1536	28	5	148	13	10
NG_029890.1	3523	708	2208	6256	3642	1042	3842	113	128	18	3910.63	4163.77	2236.75	2229.39	3306.49	2036.1	168	199	156	5979.91	106	503	315	844.06	1367.56	4123.87	5691.55	14	13	7	705	3970.71	677	7789.53
NG_029891.1	321.85	289.71	212.36	4938	4707	3469	14	6	3013.93	5133.94	32	27	23	4532.11	7320.94	8715.37	14	12	6	56	6857	1	0	2131	2610	3013	2758	1	4	170.07	1305.53	1410.5	430.06	22
NG_029892.2	74.32	77	52	111	133	140	53	22	97	188	83	91	49	134	29	16.05	325	390	400	134	332	62	170	137	174	258	257	50	18	127.22	2499.2	36	74	45
NG_029895.1	1597	450	784	448.98	1094.43	2337	2960	423	983	1738	716.64	499.66	355.26	1145.28	1034.91	967.43	768	908.74	566.48	1558.81	42.05	1907	170	677	20	29	36	1420	1224	718	245	1265.68	521	1
NG_029898.1	5440.94	1388.91	3805.97	3874.9	1296.41	1261.98	80	2680.46	1057.43	1076.59	3971.91	3238.66	2435.23	5633	1766	550	231	190	264	3818.47	3710.65	4023.56	2239	3353	2817	6030	5856	1698	1202	7	76	52	29	52.15
NG_029900.1	143	320	61	8538.69	4492	1338	5186	62	2749	5304	11792.16	12442.5	6158.7	11254.34	9764.58	5510.86	240	167	159	6554	3264	66	154	6056	17453.2	16202.66	15989.53	386	81	8988.03	2413.27	300	281	102
